Day,Date,Time,PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AQI
Monday,01-08-2022,00:00:00,57,70,84,12,6,80,48,102
Monday,01-08-2022,01:00:00,0,20,58,12,26,90,38,105
Monday,01-08-2022,02:00:00,18,46,62,14,20,72,31,104
Monday,01-08-2022,03:00:00,72,140,,,,,,99
Monday,01-08-2022,04:00:00,55,86,57,,2,80,51,99
Monday,01-08-2022,05:00:00,58,97,90,13,0,82,64,97
Monday,01-08-2022,06:00:00,58,127,80,13,7,90,44,96
Monday,01-08-2022,07:00:00,0,72,67,12,24,102,38,98
Monday,01-08-2022,08:00:00,18,34,58,12,25,107,36,98
Monday,01-08-2022,09:00:00,38,44,52,11,23,112,38,96
Monday,01-08-2022,10:00:00,47,64,92,11,11,109,37,94
Monday,01-08-2022,11:00:00,88,127,66,12,5,108,67,96
Monday,01-08-2022,12:00:00,93,105,61,12,4,110,53,100
Monday,01-08-2022,13:00:00,82,97,56,12,3,101,40,101
Monday,01-08-2022,14:00:00,147,115,42,13,23,102,39,100
Monday,01-08-2022,15:00:00,243,108,39,11,32,88,38,97
Monday,01-08-2022,16:00:00,167,97,27,12,31,57,58,96
Monday,01-08-2022,17:00:00,50,55,29,12,30,101,41,99
Monday,01-08-2022,18:00:00,53,67,75,12,20,100,51,99
Monday,01-08-2022,19:00:00,103,149,56,12,19,101,38,99
Monday,01-08-2022,20:00:00,60,101,48,12,29,118,46,99
Monday,01-08-2022,21:00:00,70,104,55,12,33,118,52,102
Monday,01-08-2022,22:00:00,60,99,56,14,35,80,35,104
Monday,01-08-2022,23:00:00,47,81,42,13,22,85,68,106
Tuesday,02-08-2022,00:00:00,80,111,44,2,16,50,11,52
Tuesday,02-08-2022,01:00:00,40,101,45,2,15,42,7,51
Tuesday,02-08-2022,02:00:00,32,69,48,2,15,40,0,51
Tuesday,02-08-2022,03:00:00,33,83,54,3,0,0,4,51
Tuesday,02-08-2022,04:00:00,0,85,58,3,14,38,4,51
Tuesday,02-08-2022,05:00:00,30,84,,,,,,52
Tuesday,02-08-2022,06:00:00,27,70,51,3,15,35,9,52
Tuesday,02-08-2022,07:00:00,78,55,40,2,16,35,8,52
Tuesday,02-08-2022,08:00:00,52,96,40,2,17,35,11,52
Tuesday,02-08-2022,09:00:00,23,95,43,2,15,37,14,52
Tuesday,02-08-2022,10:00:00,28,84,50,2,14,40,21,54
Tuesday,02-08-2022,11:00:00,0,38,62,2,13,35,21,56
Tuesday,02-08-2022,12:00:00,10,66,52,3,12,35,26,56
Tuesday,02-08-2022,13:00:00,23,83,49,3,15,25,25,56
Tuesday,02-08-2022,14:00:00,40,67,53,3,17,40,35,59
