,DAY,DATE,PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AQI
0,Monday,01-08-2022,70.16666666666667,87.70833333333333,58.8125,12.333333333333334,18.375,94.54166666666667,45.5,99.41666666666667
1,Tuesday,02-08-2022,38.666666666666664,74.83333333333333,46.9375,2.5416666666666665,14.4375,39.1875,16.729166666666668,55.375
2,Wednesday,03-08-2022,27.4375,53.395833333333336,49.083333333333336,2.5,15.708333333333334,26.4375,11.875,56.25
3,Thursday,04-08-2022,32.520833333333336,61.8125,46.9375,2.5416666666666665,15.166666666666666,40.6875,16.875,75.54166666666667
4,Friday,05-08-2022,57.916666666666664,82.0625,54.5,3.4166666666666665,11.270833333333334,25.354166666666668,15.833333333333334,87.91666666666667
5,Saturday,06-08-2022,45.6875,63.1875,54.1875,3.6875,22.520833333333332,29.416666666666668,12.416666666666666,75.8125
6,Sunday,07-08-2022,44.541666666666664,74.25,49.645833333333336,4.125,14.125,35.145833333333336,26.416666666666668,65.375
7,Sunday,08-08-2022,39.270833333333336,74.91666666666667,49.333333333333336,4.395833333333333,14.395833333333334,41.229166666666664,29.375,72.95833333333333
8,Tuesday,09-08-2022,59.9375,76.27083333333333,50.854166666666664,3.875,14.125,43.4375,55.583333333333336,65.41666666666667
9,Wednesday,10-08-2022,37.291666666666664,64.6875,49.125,2.3958333333333335,13.4375,41.770833333333336,36.604166666666664,53.25
10,Thursday,11-08-2022,20.75,49.25,10.375,10.229166666666666,4.583333333333333,54.041666666666664,9.604166666666666,58.541666666666664
11,Friday,12-08-2022,36.5,55.791666666666664,24.958333333333332,11.541666666666666,14.104166666666666,36.833333333333336,7.916666666666667,54.833333333333336
12,Friday,08-13-2022,25.9375,44.833333333333336,43.333333333333336,7.0,12.229166666666666,38.1875,51.333333333333336,57.375
13,Sunday,08-14-2022,34.083333333333336,51.583333333333336,33.604166666666664,5.0,14.0625,34.5,37.729166666666664,53.958333333333336
14,Monday,08-15-2022,43.791666666666664,44.1875,14.458333333333334,9.520833333333334,13.604166666666666,28.0,41.625,52.166666666666664
15,Tuesday,08-16-2022,25.020833333333332,44.5,25.791666666666668,9.041666666666666,17.5,29.416666666666668,35.291666666666664,43.25
16,Wednesday,08-17-2022,14.458333333333334,41.229166666666664,48.666666666666664,4.25,13.395833333333334,34.958333333333336,33.333333333333336,44.791666666666664
17,Thursday,08-18-2022,22.166666666666668,45.083333333333336,54.541666666666664,3.5833333333333335,14.6875,33.958333333333336,37.416666666666664,55.625
18,Friday,08-19-2022,22.166666666666668,53.875,53.104166666666664,3.2083333333333335,12.833333333333334,37.104166666666664,45.895833333333336,58.083333333333336
19,Saturday,08-20-2022,30.9375,63.833333333333336,47.083333333333336,5.5625,13.208333333333334,38.458333333333336,32.083333333333336,58.875
20,Sunday,08-21-2022,45.041666666666664,91.0625,49.020833333333336,13.833333333333334,38.5625,36.645833333333336,16.0,76.70833333333333
21,Monday,08-22-2022,35.8125,79.85416666666667,53.541666666666664,9.729166666666666,15.125,36.666666666666664,43.895833333333336,76.75
22,Tuesday,08-23-2022,30.8125,63.4375,56.5,10.9375,13.625,32.541666666666664,48.145833333333336,91.04166666666667
23,Wednesday,08-24-2022,33.3125,54.145833333333336,56.020833333333336,10.729166666666666,14.479166666666666,38.104166666666664,31.770833333333332,57.833333333333336
24,Thursday,08-25-2022,47.520833333333336,79.125,58.916666666666664,10.666666666666666,13.8125,36.854166666666664,58.0,82.66666666666667
25,Friday,08-26-2022,36.1875,83.9375,48.729166666666664,10.645833333333334,14.083333333333334,35.333333333333336,43.375,87.79166666666667
26,Saturday,08-27-2022,37.625,89.77083333333333,52.3125,10.854166666666666,13.9375,34.104166666666664,46.458333333333336,86.79166666666667
27,Sunday,08-28-2022,38.541666666666664,112.04166666666667,51.0,10.708333333333334,14.791666666666666,32.604166666666664,43.541666666666664,102.54166666666667
28,Monday,08-29-2022,46.4375,118.0625,58.520833333333336,10.458333333333334,14.770833333333334,32.041666666666664,55.1875,116.70833333333333
29,Tuesday,08-30-2022,49.8125,89.58333333333333,66.25,10.5,14.75,40.1875,49.479166666666664,105.08333333333333
30,Wednesday,08-31-2022,47.1875,97.33333333333333,58.770833333333336,10.395833333333334,14.666666666666666,34.020833333333336,48.958333333333336,97.58333333333333
