,Day,Date,Time,PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AQI
0,Monday,01-08-2022,00:00:00,57.0,70.0,84.0,12.0,6.0,80.0,48.0,102.0
1,Monday,01-08-2022,01:00:00,0.0,20.0,58.0,12.0,26.0,90.0,38.0,105.0
2,Monday,01-08-2022,02:00:00,18.0,46.0,62.0,14.0,20.0,72.0,31.0,104.0
3,Monday,01-08-2022,03:00:00,72.0,140.0,59.5,13.666666666666666,11.0,76.0,41.0,99.0
4,Monday,01-08-2022,04:00:00,55.0,86.0,57.0,13.333333333333334,2.0,80.0,51.0,99.0
5,Monday,01-08-2022,05:00:00,58.0,97.0,90.0,13.0,0.0,82.0,64.0,97.0
6,Monday,01-08-2022,06:00:00,58.0,127.0,80.0,13.0,7.0,90.0,44.0,96.0
7,Monday,01-08-2022,07:00:00,0.0,72.0,67.0,12.0,24.0,102.0,38.0,98.0
8,Monday,01-08-2022,08:00:00,18.0,34.0,58.0,12.0,25.0,107.0,36.0,98.0
9,Monday,01-08-2022,09:00:00,38.0,44.0,52.0,11.0,23.0,112.0,38.0,96.0
10,Monday,01-08-2022,10:00:00,47.0,64.0,92.0,11.0,11.0,109.0,37.0,94.0
11,Monday,01-08-2022,11:00:00,88.0,127.0,66.0,12.0,5.0,108.0,67.0,96.0
12,Monday,01-08-2022,12:00:00,93.0,105.0,61.0,12.0,4.0,110.0,53.0,100.0
13,Monday,01-08-2022,13:00:00,82.0,97.0,56.0,12.0,3.0,101.0,40.0,101.0
14,Monday,01-08-2022,14:00:00,147.0,115.0,42.0,13.0,23.0,102.0,39.0,100.0
15,Monday,01-08-2022,15:00:00,243.0,108.0,39.0,11.0,32.0,88.0,38.0,97.0
16,Monday,01-08-2022,16:00:00,167.0,97.0,27.0,12.0,31.0,57.0,58.0,96.0
17,Monday,01-08-2022,17:00:00,50.0,55.0,29.0,12.0,30.0,101.0,41.0,99.0
18,Monday,01-08-2022,18:00:00,53.0,67.0,75.0,12.0,20.0,100.0,51.0,99.0
19,Monday,01-08-2022,19:00:00,103.0,149.0,56.0,12.0,19.0,101.0,38.0,99.0
20,Monday,01-08-2022,20:00:00,60.0,101.0,48.0,12.0,29.0,118.0,46.0,99.0
21,Monday,01-08-2022,21:00:00,70.0,104.0,55.0,12.0,33.0,118.0,52.0,102.0
22,Monday,01-08-2022,22:00:00,60.0,99.0,56.0,14.0,35.0,80.0,35.0,104.0
23,Monday,01-08-2022,23:00:00,47.0,81.0,42.0,13.0,22.0,85.0,68.0,106.0
24,Tuesday,02-08-2022,00:00:00,80.0,111.0,44.0,2.0,16.0,50.0,11.0,52.0
25,Tuesday,02-08-2022,01:00:00,40.0,101.0,45.0,2.0,15.0,42.0,7.0,51.0
26,Tuesday,02-08-2022,02:00:00,32.0,69.0,48.0,2.0,15.0,40.0,0.0,51.0
27,Tuesday,02-08-2022,03:00:00,33.0,83.0,54.0,3.0,0.0,0.0,4.0,51.0
28,Tuesday,02-08-2022,04:00:00,0.0,85.0,58.0,3.0,14.0,38.0,4.0,51.0
29,Tuesday,02-08-2022,05:00:00,30.0,84.0,54.5,3.0,14.5,36.5,6.5,52.0
30,Tuesday,02-08-2022,06:00:00,27.0,70.0,51.0,3.0,15.0,35.0,9.0,52.0
31,Tuesday,02-08-2022,07:00:00,78.0,55.0,40.0,2.0,16.0,35.0,8.0,52.0
32,Tuesday,02-08-2022,08:00:00,52.0,96.0,40.0,2.0,17.0,35.0,11.0,52.0
33,Tuesday,02-08-2022,09:00:00,23.0,95.0,43.0,2.0,15.0,37.0,14.0,52.0
34,Tuesday,02-08-2022,10:00:00,28.0,84.0,50.0,2.0,14.0,40.0,21.0,54.0
35,Tuesday,02-08-2022,11:00:00,0.0,38.0,62.0,2.0,13.0,35.0,21.0,56.0
36,Tuesday,02-08-2022,12:00:00,10.0,66.0,52.0,3.0,12.0,35.0,26.0,56.0
37,Tuesday,02-08-2022,13:00:00,23.0,83.0,49.0,3.0,15.0,25.0,25.0,56.0
38,Tuesday,02-08-2022,14:00:00,40.0,67.0,53.0,3.0,17.0,40.0,35.0,59.0
39,Tuesday,02-08-2022,15:00:00,110.0,69.0,43.0,2.0,17.0,40.0,32.0,59.0
40,Tuesday,02-08-2022,16:00:00,97.0,150.0,24.0,3.0,17.0,40.0,41.0,58.0
41,Tuesday,02-08-2022,17:00:00,37.0,101.0,33.0,2.0,16.0,43.0,37.0,58.0
42,Tuesday,02-08-2022,18:00:00,0.0,0.0,34.0,3.0,15.0,47.0,40.0,58.0
43,Tuesday,02-08-2022,19:00:00,37.0,73.0,43.0,3.0,13.0,40.0,20.0,58.0
44,Tuesday,02-08-2022,20:00:00,0.0,0.0,53.0,3.0,12.0,42.0,4.0,60.0
45,Tuesday,02-08-2022,21:00:00,0.0,59.0,54.0,3.0,14.0,50.0,11.0,60.0
46,Tuesday,02-08-2022,22:00:00,66.0,77.0,54.0,3.0,16.0,55.0,6.0,60.0
47,Tuesday,02-08-2022,23:00:00,85.0,80.0,45.0,2.0,18.0,60.0,8.0,61.0
48,Wednesday,03-08-2022,00:00:00,30.0,59.0,49.0,2.0,14.0,40.0,0.0,65.0
49,Wednesday,03-08-2022,01:00:00,25.0,22.0,52.0,3.0,25.0,27.5,5.0,50.0
50,Wednesday,03-08-2022,02:00:00,20.0,30.0,52.0,3.0,36.0,15.0,9.0,51.0
51,Wednesday,03-08-2022,03:00:00,15.0,39.0,52.0,3.0,17.0,17.0,6.0,51.0
52,Wednesday,03-08-2022,04:00:00,22.0,45.0,49.0,3.0,15.0,20.0,5.0,51.0
53,Wednesday,03-08-2022,05:00:00,42.5,67.5,39.0,2.0,16.0,28.0,8.0,52.0
54,Wednesday,03-08-2022,06:00:00,63.0,90.0,40.0,2.0,17.0,30.0,9.0,52.0
55,Wednesday,03-08-2022,07:00:00,25.0,47.0,42.0,2.0,15.0,15.0,9.0,52.0
56,Wednesday,03-08-2022,08:00:00,17.0,41.0,16.0,2.0,14.0,18.0,11.0,52.0
57,Wednesday,03-08-2022,09:00:00,19.666666666666668,7.0,56.0,3.0,13.0,10.0,10.0,54.0
58,Wednesday,03-08-2022,10:00:00,22.333333333333332,42.0,54.0,3.0,12.0,6.0,10.0,56.0
59,Wednesday,03-08-2022,11:00:00,25.0,51.0,59.0,3.0,13.0,2.0,18.0,56.0
60,Wednesday,03-08-2022,12:00:00,25.0,53.0,56.0,3.0,15.0,7.857142857142857,21.0,56.0
61,Wednesday,03-08-2022,13:00:00,35.0,68.0,46.0,2.0,16.0,13.714285714285714,27.0,59.0
62,Wednesday,03-08-2022,14:00:00,45.0,83.0,43.0,2.0,15.0,19.57142857142857,22.0,59.0
63,Wednesday,03-08-2022,15:00:00,28.0,51.0,42.0,2.0,13.0,25.428571428571427,27.0,58.0
64,Wednesday,03-08-2022,16:00:00,32.0,62.0,49.0,2.0,12.0,31.285714285714285,29.0,58.0
65,Wednesday,03-08-2022,17:00:00,13.0,53.0,61.0,3.0,11.0,37.14285714285714,14.0,58.0
66,Wednesday,03-08-2022,18:00:00,12.666666666666666,23.0,62.0,3.0,12.0,43.0,6.0,58.0
67,Wednesday,03-08-2022,19:00:00,12.333333333333334,57.0,63.0,3.0,14.0,38.0,5.0,60.0
68,Wednesday,03-08-2022,20:00:00,12.0,74.0,60.0,3.0,15.0,48.0,7.0,60.0
69,Wednesday,03-08-2022,21:00:00,31.0,82.0,47.0,2.0,16.0,50.0,9.0,60.0
70,Wednesday,03-08-2022,22:00:00,50.0,90.0,44.0,2.0,16.0,50.0,11.0,61.0
71,Wednesday,03-08-2022,23:00:00,36.0,45.0,45.0,2.0,15.0,42.0,7.0,61.0
72,Thursday,04-08-2022,00:00:00,22.0,45.0,45.0,2.0,15.0,42.0,7.0,62.0
73,Thursday,04-08-2022,01:00:00,8.0,50.0,48.0,2.0,15.0,40.0,5.5,65.0
74,Thursday,04-08-2022,02:00:00,12.0,31.0,54.0,3.0,14.5,39.0,4.0,66.0
75,Thursday,04-08-2022,03:00:00,12.0,29.0,58.0,3.0,14.0,38.0,4.0,68.0
76,Thursday,04-08-2022,04:00:00,12.0,42.5,54.5,3.0,14.5,36.5,6.5,71.0
77,Thursday,04-08-2022,05:00:00,12.0,56.0,51.0,3.0,15.0,35.0,9.0,72.0
78,Thursday,04-08-2022,06:00:00,28.5,73.0,40.0,2.0,16.0,35.0,8.0,72.0
79,Thursday,04-08-2022,07:00:00,45.0,90.0,40.0,2.0,17.0,35.0,11.0,72.0
80,Thursday,04-08-2022,08:00:00,25.0,52.0,43.0,2.0,15.0,37.0,14.0,72.0
81,Thursday,04-08-2022,09:00:00,20.0,73.0,50.0,2.0,14.0,40.0,21.0,74.0
82,Thursday,04-08-2022,10:00:00,10.0,47.0,62.0,2.0,13.0,35.0,21.0,74.0
83,Thursday,04-08-2022,11:00:00,15.0,40.0,52.0,3.0,12.0,35.0,26.0,74.0
84,Thursday,04-08-2022,12:00:00,97.0,64.0,49.0,3.0,15.0,25.0,25.0,75.0
85,Thursday,04-08-2022,13:00:00,80.0,107.0,53.0,3.0,17.0,40.0,35.0,76.0
86,Thursday,04-08-2022,14:00:00,33.0,59.0,43.0,2.0,17.0,40.0,32.0,74.0
87,Thursday,04-08-2022,15:00:00,27.0,62.0,24.0,3.0,17.0,40.0,41.0,78.0
88,Thursday,04-08-2022,16:00:00,35.0,61.0,33.0,2.0,16.0,43.0,37.0,80.0
89,Thursday,04-08-2022,17:00:00,33.0,63.0,34.0,3.0,15.0,47.0,40.0,81.0
90,Thursday,04-08-2022,18:00:00,23.0,55.0,43.0,3.0,13.0,40.0,20.0,82.0
91,Thursday,04-08-2022,19:00:00,27.0,57.0,53.0,3.0,12.0,42.0,4.0,82.0
92,Thursday,04-08-2022,20:00:00,31.0,59.0,54.0,3.0,14.0,50.0,11.0,83.0
93,Thursday,04-08-2022,21:00:00,35.0,77.0,54.0,3.0,16.0,55.0,6.0,85.0
94,Thursday,04-08-2022,22:00:00,58.0,80.0,45.0,2.0,18.0,60.0,8.0,87.0
95,Thursday,04-08-2022,23:00:00,80.0,111.0,44.0,2.0,19.0,47.0,9.0,88.0
96,Friday,05-08-2022,00:00:00,129.0,121.0,57.0,2.0,17.916666666666668,11.0,11.0,88.0
