,DAY,DATE,PM2.5,PM10,NO2,SO2,CO,OZONE,AQI
0,Monday,01-08-2022,37.6875,47.479166666666664,22.647151898734176,3.3958333333333335,51.354166666666664,8.145833333333334,50.25
1,Tuesday,02-08-2022,41.375,51.916666666666664,22.647151898734176,4.416666666666667,42.916666666666664,8.625,46.916666666666664
2,Wednesday,03-08-2022,44.479166666666664,59.291666666666664,22.647151898734176,2.7083333333333335,64.29166666666667,7.625,61.291666666666664
3,Thursday,04-08-2022,60.645833333333336,105.70833333333333,22.647151898734176,4.0625,76.33333333333333,7.645833333333333,86.875
4,Friday,05-08-2022,26.25,70.54166666666667,27.348101265822788,3.2916666666666665,67.16666666666667,9.833333333333334,83.70833333333333
5,Saturday,06-08-2022,23.833333333333332,63.166666666666664,26.833333333333332,4.333333333333333,63.958333333333336,9.1875,70.95833333333333
6,Sunday,07-08-2022,19.333333333333332,45.458333333333336,21.166666666666668,3.9583333333333335,69.41666666666667,9.208333333333334,72.04166666666667
7,Monday,08-08-2022,30.958333333333332,84.91666666666667,25.416666666666668,2.8333333333333335,70.33333333333333,8.5,66.95833333333333
8,Tuesday,09-08-2022,24.75,81.83333333333333,23.791666666666668,4.291666666666667,76.125,7.125,96.83333333333333
9,Wednesday,10-08-2022,23.979166666666668,79.47916666666667,23.208333333333332,3.1041666666666665,61.3125,6.708333333333333,79.70833333333333
10,Thursday,11-08-2022,26.083333333333332,65.58333333333333,23.0,2.9375,44.541666666666664,6.875,74.75
11,Friday,12-08-2022,31.833333333333332,73.83333333333333,24.875,3.1666666666666665,57.041666666666664,7.875,67.95833333333333
12,Saturday,13-08-2022,27.416666666666668,62.166666666666664,23.708333333333332,3.9583333333333335,59.75,7.666666666666667,73.625
13,Sunday,14-08-2022,17.5,44.125,21.916666666666668,5.75,62.395833333333336,7.5,62.375
14,Monday,15-08-2022,38.875,62.208333333333336,24.166666666666668,3.875,61.75,8.333333333333334,62.458333333333336
15,Tuesday,16-08-2022,17.416666666666668,47.208333333333336,11.125,3.875,52.208333333333336,7.291666666666667,54.833333333333336
16,Wednesday,17-08-2022,22.333333333333332,46.833333333333336,14.0,4.583333333333333,58.708333333333336,7.625,57.708333333333336
17,Thursday,18-08-2022,28.916666666666668,49.083333333333336,21.083333333333332,6.083333333333333,61.5,13.25,60.958333333333336
18,Friday,19-08-2022,29.916666666666668,50.041666666666664,21.0,3.375,61.083333333333336,8.25,61.041666666666664
19,Saturday,20-08-2022,36.083333333333336,78.75,27.958333333333332,3.75,74.625,7.791666666666667,70.91666666666667
20,Sunday,21-08-2022,34.541666666666664,66.77083333333333,21.958333333333332,2.9166666666666665,66.5625,8.5625,75.95833333333333
21,Monday,22-08-2022,20.833333333333332,39.604166666666664,19.25,4.208333333333333,65.4375,7.770833333333333,66.41666666666667
22,Tuesday,23-08-2022,22.958333333333332,42.291666666666664,19.0,2.9583333333333335,63.75,9.791666666666666,64.375
23,Wednesday,24-08-2022,30.833333333333332,47.791666666666664,26.916666666666668,4.541666666666667,71.29166666666667,7.375,69.33333333333333
24,Thursday,25-08-2022,38.541666666666664,71.04166666666667,28.75,3.375,72.54166666666667,7.958333333333333,69.70833333333333
25,Friday,26-08-2022,34.729166666666664,55.416666666666664,24.583333333333332,4.75,67.60416666666667,8.5,76.0
26,Saturday,27-08-2022,26.708333333333332,38.541666666666664,25.625,2.65625,67.0,8.208333333333334,65.95833333333333
27,Sunday,28-08-2022,27.625,45.75,27.083333333333332,2.8645833333333335,66.83333333333333,8.291666666666666,64.0
28,Monday,29-08-2022,28.583333333333332,33.541666666666664,25.541666666666668,5.75,64.625,8.125,71.875
29,Tuesday,30-08-2022,29.041666666666668,38.875,17.666666666666668,6.291666666666667,53.833333333333336,7.375,54.291666666666664
30,Wednesday,31-08-2022,15.104166666666666,23.25,14.5,4.291666666666667,61.125,7.333333333333333,54.791666666666664
