,Day,Date,Time,PM2.5,PM10,NO2,SO2,CO,OZONE,AQI
0,Monday,01-08-2022,00:00:00,20.0,31.0,22.647151898734176,2.0,40.0,9.0,40
1,Monday,01-08-2022,01:00:00,20.0,30.0,22.647151898734176,3.0,37.0,9.0,40
2,Monday,01-08-2022,02:00:00,23.5,27.5,22.647151898734176,2.5,39.5,8.5,41
3,Monday,01-08-2022,03:00:00,27.0,25.0,22.647151898734176,2.0,42.0,8.0,41
4,Monday,01-08-2022,04:00:00,20.0,20.0,22.647151898734176,1.0,36.0,4.0,41
5,Monday,01-08-2022,05:00:00,15.0,17.0,22.647151898734176,2.0,31.0,5.0,41
6,Monday,01-08-2022,06:00:00,21.0,29.0,22.647151898734176,4.0,42.0,7.0,41
7,Monday,01-08-2022,07:00:00,48.0,54.0,22.647151898734176,6.0,53.0,7.0,41
8,Monday,01-08-2022,08:00:00,48.0,74.0,22.647151898734176,5.0,54.0,8.0,42
9,Monday,01-08-2022,09:00:00,45.0,77.0,22.647151898734176,2.0,71.0,10.0,46
10,Monday,01-08-2022,10:00:00,48.0,92.0,22.647151898734176,1.0,75.0,9.0,50
11,Monday,01-08-2022,11:00:00,62.0,106.0,22.647151898734176,2.0,60.0,9.0,52
12,Monday,01-08-2022,12:00:00,53.0,78.0,22.647151898734176,6.0,54.0,8.0,53
13,Monday,01-08-2022,13:00:00,47.0,58.0,22.647151898734176,3.0,62.0,7.0,56
14,Monday,01-08-2022,14:00:00,47.0,56.0,22.647151898734176,3.0,62.0,10.0,59
15,Monday,01-08-2022,15:00:00,58.0,59.0,22.647151898734176,3.0,61.0,11.0,61
16,Monday,01-08-2022,16:00:00,51.0,50.0,22.647151898734176,4.0,57.0,10.0,62
17,Monday,01-08-2022,17:00:00,38.0,40.0,22.647151898734176,5.0,55.0,10.0,62
18,Monday,01-08-2022,18:00:00,34.0,35.0,22.647151898734176,4.0,52.0,9.0,60
19,Monday,01-08-2022,19:00:00,35.0,39.0,22.647151898734176,4.0,54.0,8.0,57
20,Monday,01-08-2022,20:00:00,38.0,34.0,22.647151898734176,5.0,55.0,8.0,57
21,Monday,01-08-2022,21:00:00,40.0,32.0,22.647151898734176,4.0,42.0,8.0,56
22,Monday,01-08-2022,22:00:00,38.0,35.0,22.647151898734176,4.0,50.0,5.0,54
23,Monday,01-08-2022,23:00:00,28.0,41.0,22.647151898734176,4.0,48.0,8.0,53
24,Tuesday,02-08-2022,00:00:00,34.0,36.0,22.647151898734176,4.0,46.0,9.0,51
25,Tuesday,02-08-2022,01:00:00,53.0,40.0,22.647151898734176,5.0,38.0,9.0,49
26,Tuesday,02-08-2022,02:00:00,31.0,32.0,22.647151898734176,5.0,39.0,10.0,48
27,Tuesday,02-08-2022,03:00:00,29.0,31.0,22.647151898734176,4.0,45.0,9.0,49
28,Tuesday,02-08-2022,04:00:00,42.0,36.0,22.647151898734176,7.0,35.0,8.0,49
29,Tuesday,02-08-2022,05:00:00,34.0,32.0,22.647151898734176,5.0,18.0,9.0,50
30,Tuesday,02-08-2022,06:00:00,28.0,44.0,22.647151898734176,4.0,25.0,18.0,50
31,Tuesday,02-08-2022,07:00:00,20.0,42.0,22.647151898734176,4.0,40.0,5.0,50
32,Tuesday,02-08-2022,08:00:00,36.33333333333333,60.66666666666667,22.647151898734176,4.0,43.333333333333336,6.333333333333333,49
33,Tuesday,02-08-2022,09:00:00,52.666666666666664,79.33333333333334,22.647151898734176,4.0,46.666666666666664,7.666666666666666,48
34,Tuesday,02-08-2022,10:00:00,69.0,98.0,22.647151898734176,4.0,50.0,9.0,48
35,Tuesday,02-08-2022,11:00:00,48.0,70.0,22.647151898734176,5.0,44.0,9.0,46
36,Tuesday,02-08-2022,12:00:00,36.0,44.0,22.647151898734176,8.0,45.0,9.0,45
37,Tuesday,02-08-2022,13:00:00,33.0,43.0,22.647151898734176,8.0,31.0,8.0,44
38,Tuesday,02-08-2022,14:00:00,47.0,50.0,22.647151898734176,9.0,26.0,9.0,44
39,Tuesday,02-08-2022,15:00:00,45.0,42.0,22.647151898734176,7.0,30.0,4.0,43
40,Tuesday,02-08-2022,16:00:00,43.0,44.0,22.647151898734176,8.0,27.0,8.0,43
41,Tuesday,02-08-2022,17:00:00,45.0,42.0,22.647151898734176,2.0,45.0,8.0,43
42,Tuesday,02-08-2022,18:00:00,42.0,44.0,22.647151898734176,1.0,47.0,9.0,43
43,Tuesday,02-08-2022,19:00:00,43.0,49.0,22.647151898734176,0.0,55.0,11.0,44
44,Tuesday,02-08-2022,20:00:00,37.0,55.0,22.647151898734176,0.0,64.0,9.0,45
45,Tuesday,02-08-2022,21:00:00,38.0,64.0,22.647151898734176,2.0,62.0,9.0,46
46,Tuesday,02-08-2022,22:00:00,45.0,80.0,22.647151898734176,3.0,66.0,8.0,48
47,Tuesday,02-08-2022,23:00:00,62.0,88.0,22.647151898734176,3.0,62.0,6.0,51
48,Wednesday,03-08-2022,00:00:00,68.0,100.0,22.647151898734176,3.0,62.0,6.0,54
49,Wednesday,03-08-2022,01:00:00,71.0,123.0,22.647151898734176,2.0,53.0,7.0,57
50,Wednesday,03-08-2022,02:00:00,53.0,77.0,22.647151898734176,3.0,48.0,7.0,59
51,Wednesday,03-08-2022,03:00:00,40.0,52.0,22.647151898734176,2.0,46.0,9.0,60
52,Wednesday,03-08-2022,04:00:00,48.0,51.0,22.647151898734176,3.0,45.0,6.0,61
53,Wednesday,03-08-2022,05:00:00,42.0,44.0,22.647151898734176,2.0,65.0,9.0,61
